Gene,Cluster
ACBD4,3
ACBD7,3
ACCS,3
ACP6,3
ACY1,3
ADAM11,3
ADAMTS13,3
ADAMTSL4,3
ADCK5,3
ADGRA2,3
AGA,3
AGAP1,3
AHSA2P,3
ALG10,3
ALG10B,3
AMDHD2,3
AMOT,3
ANKRD9,3
AP5B1,3
APEH,3
APOLD1,3
ARHGAP22,3
ARHGAP6,3
ARHGEF39,3
ARPIN,3
ARRDC1-AS1,3
ASF1B,3
ATG16L2,3
ATP2A1-AS1,3
ATP6V1B1,3
ATP6V1E2,3
ATP7B,3
ATP8B3,3
ATRAID,3
ATRNL1,3
ATXN7L3-AS1,3
B3GALT4,3
B4GALNT1,3
B4GALT2,3
B9D1,3
BCKDK,3
BIRC5,3
BOLA1,3
BORCS8,3
BVES,3
C12orf75,3
C16orf74,3
C16orf95,3
C17orf58,3
C19orf81,3
C1orf56,3
C21orf58,3
C2orf68,3
C5,3
C6orf226,3
C9orf40,3
CA2,3
CALY,3
CAND2,3
CATSPER1,3
CAVIN3,3
CBS,3
CCDC18,3
CCDC184,3
CCDC74A,3
CCDC78,3
CCDC85B,3
CCNE2,3
CCR10,3
CDC45,3
CDC7,3
CDCA3,3
CDH4,3
CDKN3,3
CENPA,3
CENPH,3
CENPI,3
CENPM,3
CENPN,3
CENPU,3
CENPW,3
CEP55,3
CFAP119,3
CFAP20DC,3
CHDH,3
CHMP3,3
CHST14,3
CHSY3,3
CHTF18,3
CISD3,3
CLDN11,3
CLN8-AS1,3
CLYBL,3
CMC4,3
CNPY4,3
COA5,3
COL8A1,3
COMTD1,3
CPT2,3
CRNDE,3
CT83,3
CTC-338M12.4,3
CTDSPL,3
CTNNBIP1,3
CYB561A3,3
CYB5D2,3
D2HGDH,3
DARS2,3
DDX19A-DT,3
DENND3-AS1,3
DEPDC1,3
DHFR,3
DHRS11,3
DHRS13,3
DHRS4,3
DIAPH3,3
DICER1-AS1,3
DLEU2,3
DMAC1,3
DMC1,3
DNAAF5,3
DNAJC19,3
DNAJC9-AS1,3
DNASE1L1,3
DOCK1,3
DPH6,3
DPP10,3
DPP10-AS1,3
DPY19L3-DT,3
DPYSL5,3
DSCAM,3
DYNC2I2,3
E2F1,3
E2F2,3
E2F8,3
EBF4,3
ECI1,3
EFCAB11,3
EFS,3
EGFR,3
ELFN1-AS1,3
ELOVL2,3
EME1,3
EMILIN3,3
ENDOG,3
ENSA,3
ENTPD5,3
ESCO2,3
ETFB,3
ETFRF1,3
EXO1,3
EXOSC10-AS1,3
F12,3
FADS1,3
FADS2,3
FAM111B,3
FAM135A-AS1,3
FAM149A,3
FAM20C,3
FAM72B,3
FAM72D,3
FAM88B,3
FAM89A,3
FANCI,3
FAR2,3
FBF1,3
FBLN1,3
FBLN7,3
FBXL8,3
FBXO4,3
FBXO43,3
FBXO48,3
FGF14-AS2,3
FNDC10,3
FOXD3-AS1,3
FOXRED2,3
FSD1,3
FUOM,3
FUZ,3
G6PC3,3
GABBR1,3
GALK1,3
GALNT12,3
GALNT16,3
GALNT18,3
GAMT,3
GATD1,3
GATD3,3
GDF11,3
GHRLOS,3
GIHCG,3
GINS2,3
GINS4,3
GLCCI1,3
GLYCTK,3
GMPPB,3
GNAL,3
GON7,3
GPC4,3
GPC6,3
GSTZ1,3
GUCY1A2,3
GYS1,3
H1-1,3
H1-10,3
H1-4,3
H1-5,3
H2AC13,3
H2AC20,3
H2AJ,3
H2BC18,3
H4C3,3
H6PD,3
HAUS4,3
HDAC4,3
HDAC4-AS1,3
HDDC3,3
HGH1,3
HHLA3,3
HINT2,3
HJURP,3
HMBS,3
HMMR,3
HORMAD1,3
HS3ST3B1,3
HSD17B1-AS1,3
HSD17B8,3
HTRA3,3
IDH2,3
IDUA,3
IFT140,3
INPP5A,3
INVS,3
IQCH-AS1,3
IQGAP3,3
IRAK1BP1,3
JAM2,3
JMJD1C-AS1,3
JMJD4,3
JOSD2,3
JPH1,3
KCNC4,3
KCNS3,3
KDELR3,3
KDM4D,3
KIF20A,3
KIF24,3
KLHDC9,3
KLHL23,3
KRTAP2-3,3
KRTAP4-8,3
KYAT1,3
LARGE1,3
LBX2-AS1,3
LENG9,3
LGI2,3
LIF-AS2,3
LIMK1,3
LINC00173,3
LINC00339,3
LINC00467,3
LINC00707,3
LINC00857,3
LINC02677,3
LINC02985,3
LINC03011,3
LKAAEAR1,3
LMNB1,3
LOC100130111,3
LOC100289361,3
LOC102724023,3
LOC118567325,3
LOC124901151,3
LOC145783,3
LOC730183,3
LOXL1,3
LRP4-AS1,3
LRRC20,3
LRRC34,3
LRRC45,3
LRRC51,3
LRRC71,3
LRRC73,3
LRRCC1,3
LURAP1,3
LYPD6,3
MAD1L1,3
MAMSTR,3
MAN1A1,3
MAN1C1,3
MAP3K2-DT,3
MARVELD1,3
MBLAC2,3
MC1R,3
MED11,3
METTL23,3
METTL25B,3
MFSD3,3
MGMT,3
MHENCR,3
MIF4GD,3
MINCR,3
MIR1915HG,3
MIR924HG,3
MKX,3
MLST8,3
MMAB,3
MOCOS,3
MPG,3
MPI,3
MRM1,3
MRPL12,3
MRPL20-AS1,3
MRPS16,3
MSH5-SAPCD1,3
MST1,3
MST1R,3
MTCL1,3
MXD3,3
MYBL2,3
MYLK,3
MYO3A,3
MYORG,3
NAA80,3
NAGA,3
NAGLU,3
NANOS1,3
NCAPG,3
NDE1,3
NDUFA7,3
NDUFB2-AS1,3
NEIL3,3
NEURL1B,3
NEURL2,3
NINJ2-AS1,3
NMRAL1,3
NPEPL1,3
NPNT,3
NPTX1,3
NRARP,3
NRBP2,3
NREP,3
NRM,3
NSUN7,3
NT5E,3
NT5M,3
NUDT6,3
NUDT7,3
NUDT8,3
NUP153-AS1,3
OGFOD2,3
OIP5,3
OLMALINC,3
OPN3,3
ORAI1,3
ORMDL2,3
OXLD1,3
PALM3,3
PAOX,3
PAQR4,3
PBK,3
PCCB,3
PCED1A,3
PCGF3-AS1,3
PCK2,3
PCLAF,3
PDE3B,3
PDE6B,3
PDE9A,3
PDGFA-DT,3
PELI3,3
PELP1-DT,3
PEX10,3
PFN2,3
PGGHG,3
PGLS,3
PHF7,3
PI4K2B,3
PICSAR,3
PIF1,3
PIGP,3
PIGQ,3
PIGV,3
PIMREG,3
PIN4,3
PITPNA-AS1,3
PKMYT1,3
PLA2G4A,3
PLAAT1,3
PLEKHJ1,3
PLEKHN1,3
PLXDC2,3
PNPLA3,3
POC1A,3
POGLUT3,3
POLA2,3
POLD4,3
POP5,3
PPOX,3
PPP1R14B-AS1,3
PPP1R35,3
PPP1R3E,3
PRIM1,3
PRKACB,3
PRKAR1B,3
PROCA1,3
PRR11,3
PRR36,3
PRR7,3
PRSS16,3
PRTFDC1,3
PSAT1,3
PSG5,3
PSG6,3
PSMG4,3
PTGER1,3
PXMP2,3
PXN-AS1,3
PYCR3,3
QRICH2,3
RAB11B-AS1,3
RAB26,3
RAD51AP1,3
RADIL,3
RANBP3-DT,3
RARA-AS1,3
RBFA,3
RBL2,3
RDM1,3
REX1BD,3
REXO5,3
RFC4,3
RFXAP,3
RHNO1,3
RHPN1-AS1,3
RIPPLY3,3
RMDN1,3
RMI2,3
RMND5B,3
RNASEH2C,3
RNF157,3
RPRML,3
RPS2P32,3
RRM2,3
RTEL1-TNFRSF6B,3
RTKN2,3
SAC3D1,3
SALL2,3
SAMMSON,3
SBNO1-AS1,3
SCN5A,3
SCOC-AS1,3
SEPTIN1,3
SERTAD4,3
SFXN2,3
SH3RF3,3
SHISA3,3
SIGMAR1,3
SLC1A4,3
SLC22A18,3
SLC25A10,3
SLC25A11,3
SLC25A34-AS1,3
SLC25A35,3
SLC25A51,3
SLC29A2,3
SLC29A4,3
SLC35F3,3
SLC37A4,3
SLC43A1,3
SLC66A3,3
SLC9A3,3
SLITRK5,3
SLX1A,3
SLX9,3
SMIM1,3
SMIM20,3
SMIM27,3
SMIM4,3
SNX17,3
SNX22,3
SPA17,3
SPAG4,3
SPAG8,3
SPATA24,3
SPC24,3
SPC25,3
SPEN-AS1,3
SPSB2,3
SRD5A1,3
STOX1,3
SURF1,3
SWI5,3
SYCE1L,3
TAF15,3
TAF9B,3
TAFAZZIN,3
TBL3,3
TCF19,3
TCF7,3
TDRKH-AS1,3
TEDC1,3
TERT,3
TESMIN,3
TEX15,3
TGFBR3L,3
THEM6,3
THNSL2,3
THOC6,3
TIMELESS,3
TLCD1,3
TLCD2,3
TLCD4,3
TLNRD1,3
TLX2,3
TMEM107,3
TMEM129,3
TMEM143,3
TMEM147-AS1,3
TMEM158,3
TMEM220,3
TMEM223,3
TMEM250,3
TMEM53,3
TMEM8B,3
TMPO-AS1,3
TMTC4,3
TNFRSF9,3
TNS2-AS1,3
TPRN,3
TRAPPC12,3
TRIM45,3
TRIM47,3
TRIM65,3
TRIM7-AS2,3
TRIP13,3
TRMT1L,3
TRMT61B,3
TRPT1,3
TSPAN31,3
TST,3
TSTD1,3
TTC30B,3
TTC32,3
TUBB2B,3
TWIST2,3
TXNRD3,3
TYSND1,3
UBAC2-AS1,3
UBL7-DT,3
UCP2,3
URB1-AS1,3
VASH1,3
VAX2,3
VPS9D1-AS1,3
WDR24,3
WDR4,3
WDR54,3
WDR62,3
WDR77,3
WDR90,3
WNT3,3
YIF1A,3
ZBED1,3
ZBTB11-AS1,3
ZBTB46,3
ZC3H6,3
ZDHHC12,3
ZDHHC16,3
ZDHHC2,3
ZFAND2A-DT,3
ZFHX3-AS1,3
ZFPM1,3
ZHX3,3
ZNF138,3
ZNF232-AS1,3
ZNF337-AS1,3
ZNF572,3
ZNF626,3
ZNF672,3
ZNF681,3
ZNF704,3
ZNF718,3
ZNF726,3
ZNF730,3
ZNF747-DT,3
ZRANB3,3
ZXDC,3
